munisid,muni_name,autonomia,province,adj_impact,gdppc,religious,c_secondplus,trust2,log_pop,age,class_upper,civil_married,longitude,latitude,dist_river,dist_sea
4864,Sant Jaume de Frontanyà,9,8,0.008474576286971569,20425.041015625,NA,0.800000011920929,NA,3.178053855895996,NA,NA,NA,2.0297293663024902,42.190731048583984,215.45140075683594,107.83985137939453
4865,Castillo de Bayuela,7,45,0.012987012974917889,18938.658203125,2.6842105388641357,0.4740000069141388,NA,6.863803386688232,54.52631759643555,0.10526315867900848,0.6315789222717285,-4.686822891235352,40.07921600341797,15.275064468383789,459.03082275390625
4866,Erustes,7,45,0.006493506487458944,19856.798828125,NA,0.3423999845981598,NA,5.472270488739014,NA,NA,NA,-4.498292922973633,39.95456314086914,7.497413635253906,455.8641052246094
4867,Cazalegas,7,45,0.019480518996715546,20971.46875,NA,0.3425999879837036,NA,7.5131635665893555,NA,NA,NA,-4.702867031097412,40.000370025634766,3.7701523303985596,459.8447570800781
4868,Cebolla,7,45,0.012987012974917889,18814.462890625,NA,0.460999995470047,NA,8.190631866455078,48.375,0.125,0.625,-4.563979148864746,39.938720703125,2.4805185794830322,454.39898681640625
4869,Cedillo del Condado,7,45,0.009740259498357773,20739.802734375,1.1111111640930176,0.5578999519348145,NA,8.203577995300293,48.77777862548828,0.1111111119389534,0.7777777910232544,-3.929006576538086,40.091339111328125,23.524856567382812,410.3997802734375
4870,Cobeja,7,45,0.003246753243729472,19786.607421875,2,0.4634000062942505,NA,7.699389457702637,46.88888931274414,0,0.7777777910232544,-3.8540842533111572,40.00862121582031,9.148322105407715,399.92828369140625
4871,"Cerralbos, Los",7,45,0,18985.7109375,NA,0.4786999821662903,NA,6.0258660316467285,NA,NA,NA,-4.583293437957764,40.021385192871094,11.837874412536621,466.5339660644531
4872,Miguel Esteban,7,45,0.02469135820865631,17039.005859375,2.25,0.3976999819278717,0.027155205607414246,8.56464958190918,51,0.1875,0.875,-3.103343963623047,39.514923095703125,55.46323776245117,308.312744140625
4873,Cervera de los Montes,7,45,0,19257.51171875,NA,0.349700003862381,NA,6.253829002380371,NA,NA,NA,-4.830460548400879,40.055877685546875,14.380134582519531,444.33575439453125
4874,Ciruelos,7,45,0.003246753243729472,19580.453125,NA,0.4474000036716461,NA,6.415096759796143,NA,NA,NA,-3.63096022605896,39.944557189941406,10.888394355773926,373.865478515625
4875,Sant Joan Despí,9,8,0.0042372881434857845,24263.12109375,0.8817204236984253,0.6464999914169312,0.49034908413887024,10.4036865234375,44.318180084228516,0.14457830786705017,0.5918367505073547,2.0566084384918213,41.36732482910156,160.44070434570312,12.135834693908691
4876,Cobisa,7,45,0.003246753243729472,20792.36328125,NA,0.8263999819755554,NA,8.329174995422363,NA,NA,NA,-4.025530815124512,39.79628372192383,7.9887518882751465,414.035888671875
4877,Cuerva,7,45,0.025974025949835777,18748.046875,2.200000047683716,0.39649999141693115,NA,7.3065314292907715,51.29999923706055,NA,0.8999999761581421,-4.216215133666992,39.661521911621094,22.989791870117188,411.4429931640625
4878,Quero,7,45,0.016233766451478004,17461.330078125,NA,0.5263999700546265,NA,7.0431599617004395,NA,NA,NA,-3.260225772857666,39.513980865478516,52.615840911865234,325.76055908203125
4879,Consuegra,7,45,0.09415584057569504,15760.986328125,1.936170220375061,0.5117999911308289,-0.14568771421909332,9.260653495788574,47.76595687866211,0.021276595070958138,0.7931034564971924,-3.6890363693237305,39.4798698425293,49.384822845458984,373.3580627441406
4880,Corral de Almaguer,7,45,0.1635802537202835,16245.533203125,2.592592477798462,0.3781999945640564,NA,8.628734588623047,47.477272033691406,0.09302325546741486,0.6666666865348816,-3.189793586730957,39.75981521606445,41.53596878051758,321.1452331542969
4881,"Real de San Vicente, El",7,45,0,17556.767578125,2,0.32919999957084656,NA,6.918695449829102,57.11111068725586,0.1111111119389534,0.6666666865348816,-4.673661231994629,40.16493606567383,27.76401710510254,457.4510803222656
4882,Chozas de Canales,7,45,0.003246753243729472,18777.326171875,NA,0.27410000562667847,NA,8.239065170288086,48.75,0,NA,-4.048826217651367,40.111846923828125,32.4227409362793,424.0643005371094
4883,Chueca,7,45,0,19757.232421875,2.3333332538604736,0.3999999761581421,NA,5.602118968963623,54.44444274902344,0.1111111119389534,0.6666666865348816,-3.940957546234131,39.72726821899414,20.07874870300293,403.5389404296875
4884,Domingo Pérez,7,45,0.003246753243729472,19179.666015625,NA,0.34689998626708984,NA,6.16120719909668,NA,NA,NA,-4.507961750030518,39.979217529296875,10.396236419677734,459.5235900878906
4885,Dosbarrios,7,45,0.048701297491788864,16925.826171875,2.411764621734619,0.44269999861717224,-0.10640537738800049,7.7415337562561035,46.16666793823242,0.0555555559694767,NA,-3.5015552043914795,39.84754180908203,28.109920501708984,357.3985900878906
4886,Preixens,9,25,0,19219.5078125,NA,0.4503999948501587,NA,6.10924768447876,NA,NA,NA,1.0337722301483154,41.80077362060547,97.629913330078125,103.87488555908203
4887,Escalona,7,45,0.12987013161182404,18127.037109375,0.375,0.5859999656677246,NA,8.116416931152344,41.0625,0.125,0.5,-4.39035701751709,40.15000915527344,38.02923583984375,462.41998291015625
4888,"Masó, La",9,43,0,24027.712890625,NA,0.5720000267028809,NA,5.662960529327393,NA,NA,NA,1.2200050354003906,41.23805618286133,65.38249969482422,18.45441436767578
4889,Escalonilla,7,45,0.012987012974917889,19349.712890625,NA,0.4042999744415283,NA,7.298445224761963,49.25,0.125,NA,-4.345631122589111,39.92036056518555,11.23146915435791,449.49798583984375
4890,Espinoso del Rey,7,45,0.012987012974917889,18049.083984375,2,0.27399998903274536,NA,6.2766432762146,47.16666793823242,0.05882352963089943,0.4000000059604645,-4.7888898849487305,39.64093780517578,31.36720848083496,414.09747314453125
4891,Maspujols,9,43,0.0042372881434857845,22815.173828125,NA,0.6378999948501587,NA,6.6618547439575195,NA,NA,NA,1.034173846244812,41.18766403198242,43.6540412902832,18.221731185913086
4892,Esquivias,7,45,0.019480518996715546,20882.3828125,NA,0.49300000071525574,NA,8.600062370300293,NA,NA,NA,-3.754420280456543,40.106468200683594,13.892032623291016,391.8609619140625
4893,"Estrella, La",7,45,0.006493506487458944,18555.064453125,NA,0.18940000236034393,NA,5.616771221160889,NA,NA,NA,-5.08899450302124,39.69438552856445,11.145812034606934,410.702880859375
4894,Fuensalida,7,45,0.02922077849507332,17206.001953125,2.1315789222717285,0.4887999892234802,-0.5172579884529114,9.31757926940918,44.95833206176758,0.1805555522441864,0.517241358757019,-4.179535388946533,40.066375732421875,26.174348831176758,437.07275390625
4895,Gálvez,7,45,0.012987012974917889,18018.83984375,1.4117647409439087,0.46549999713897705,NA,8.063377380371094,41.764705657958984,0.125,0.5,-4.289099216461182,39.719058990478516,12.136391639709473,420.1062316894531
4896,Garciotum,7,45,0,18888.607421875,NA,0.29809999465942383,NA,5.181783676147461,NA,NA,NA,-4.6379241943359375,40.11526870727539,21.912973403930664,463.04705810546875
4897,Hinojosa de San Vicente,7,45,0.009740259498357773,18219.466796875,NA,0.36390000581741333,NA,6.054439544677734,NA,NA,NA,-4.739293575286865,40.1077766418457,19.2368221282959,452.37060546875
4898,Gerindote,7,45,0,18252.744140625,0.8888888955116272,0.4871000051498413,0.8838713765144348,7.758333683013916,48.77777862548828,NA,NA,-4.26530122756958,39.94204330444336,11.085044860839844,443.5081787109375
4899,Hontanar,7,45,0.012987012974917889,18951.419921875,NA,0.28039997816085815,NA,5.0998663902282715,NA,NA,NA,-4.5298895835876465,39.564151763916016,40.413814544677734,400.3256530761719
4900,Layos,7,45,0.003246753243729472,20572.71875,NA,0.4229000210762024,NA,6.480044364929199,NA,NA,NA,-4.0563178062438965,39.77042770385742,12.10917854309082,416.9879150390625
4901,Guadamur,7,45,0.003246753243729472,19328.099609375,NA,0.5135000348091125,NA,7.520776271820068,NA,NA,NA,-4.147395610809326,39.82388687133789,6.975924491882324,428.00091552734375
4902,"Guardia, La",7,45,0.022727273404598236,16898.0234375,2,0.39149999618530273,NA,7.777792453765869,52.25,0.125,0.75,-3.5306026935577393,39.79347610473633,33.10478973388672,359.38714599609375
4903,"Herencias, Las",7,45,0,17699.76171875,NA,0.2606000006198883,NA,6.732210636138916,NA,NA,NA,-4.849402904510498,39.87162399291992,5.883378505706787,445.8779296875
4904,Herreruela de Oropesa,7,45,0,19349.15234375,3,0.40549999475479126,NA,5.940171241760254,51.818180084228516,0.1818181872367859,0.5454545617103577,-5.241209506988525,39.89621353149414,14.698938369750977,404.66290283203125
4905,Hormigos,7,45,0.003246753243729472,19134.802734375,NA,0.40060001611709595,NA,6.608000755310059,NA,NA,NA,-4.4560418128967285,40.09771728515625,28.367725372314453,468.1657409667969
4906,Huecas,7,45,0.003246753243729472,19823.6953125,1.7000000476837158,0.6428999900817871,NA,6.486160755157471,52,NA,NA,-4.197793006896973,40.01104736328125,18.271533966064453,437.6878967285156
4907,San Pedro de Mérida,11,6,0.012048192322254181,18580.271484375,2.7272727489471436,0.36890000104904175,0.08999317139387131,6.748759746551514,47.90909194946289,NA,NA,-6.183414459228516,38.96003341674805,2.9812982082366943,264.6557922363281
4908,Huerta de Valdecarábanos,7,45,0.006493506487458944,17107.2421875,2.3157894611358643,0.36419999599456787,NA,7.504941940307617,50.21052551269531,0,0.5,-3.6149463653564453,39.84020233154297,21.95018196105957,369.6835021972656
4909,Illán de Vacas,7,45,0.003246753243729472,24252.525390625,NA,1,NA,1.0986123085021973,NA,NA,NA,-4.555825710296631,39.97017288208008,6.86459493637085,458.8095397949219
4910,Illescas,7,45,0.0714285746216774,23411.6953125,1.5319149494171143,0.5795999765396118,-0.07415904104709625,10.155062675476074,43.914894104003906,0.19354838132858276,0.5394737124443054,-3.8448362350463867,40.13449478149414,23.173097610473633,402.57403564453125
4911,"Iglesuela, La",7,45,0.012987012974917889,18180.857421875,NA,0.40310001373291016,NA,6.104793071746826,NA,NA,NA,-4.744062900543213,40.23997497558594,38.39146423339844,447.36322021484375
4912,Lagartera,7,45,0.009740259498357773,17251.69921875,1.7999999523162842,0.4449000060558319,NA,7.3165483474731445,45.599998474121094,0,NA,-5.234992980957031,39.982330322265625,26.821271896362305,402.5260009765625
4913,Lillo,7,45,0.04545454680919647,16749.279296875,1.3529411554336548,0.4065999984741211,0.2843593657016754,7.971776008605957,47.882354736328125,0.09090909361839294,0.529411792755127,-3.3336758613586426,39.703468322753906,47.299747467041016,335.9674377441406
4914,Lominchar,7,45,0,20031.322265625,3,0.46239998936653137,NA,7.768533229827881,52.900001525878906,0,0.699999988079071,-3.9870476722717285,40.08513259887695,25.554668426513672,416.5498046875
4915,Lucillos,7,45,0.009740259498357773,19386.50390625,NA,0.4018999934196472,NA,6.473890781402588,NA,NA,NA,-4.625878810882568,40.00511169433594,7.134888648986816,464.79425048828125
4916,"Far d'Empordà, El",9,17,0,25151.25390625,NA,0.5433000326156616,NA,6.333279609680176,48,0,NA,2.9931063652038574,42.2456169128418,308.45050048828125,14.254727363586426
4917,Madridejos,7,45,0.13636364042758942,15728.5771484375,2.222222328186035,0.46939998865127563,NA,9.302919387817383,45.11111068725586,0.1111111119389534,NA,-3.537813186645508,39.46605682373047,45.867923736572266,356.49017333984375
4918,Magán,7,45,0.009740259498357773,21129.7421875,1.5555555820465088,0.48809999227523804,NA,8.0833282470703125,47.88888931274414,0,0.7777777910232544,-3.9325146675109863,39.9659423828125,7.981706619262695,407.4900817871094
